date,ethusd_gwt,ethusd_mean,ethusd_close,ethusd_high,ethusd_low,total_gas_used,has_hourly_data,gwt_vs_mean_pct,price_volatility,price_regime
2023-10-27,1783.0682367015927,1783.0473368005726,1780.9160750833046,1799.2455343031188,1761.3782538815262,107995689909,True,0.0011721450456627556,,medium
2023-10-28,1785.6123153671506,1785.6073207605323,1775.582842648178,1795.0916137020222,1775.582842648178,107789681968,True,0.00027971472564212833,,medium
2023-10-29,1788.7771507726468,1788.8067377602372,1799.5280569867357,1804.5806359458886,1771.4308181835738,107819983084,True,-0.0016540069402599428,,medium
2023-10-30,1802.9759017992224,1802.9728219478268,1810.0160648552571,1822.7250232789472,1783.1294412983018,107827177101,True,0.00017082073329544007,,medium
2023-10-31,1802.9625041960765,1802.9691733845168,1812.443535891506,1813.104335516687,1790.6532221156283,107631123242,True,-0.00036990030327784353,,medium
2023-11-01,1813.799697429006,1813.8056209949598,1845.7727244061282,1849.4157282390854,1791.6262956576888,107945356524,True,-0.00032658218086559134,,medium
2023-11-02,1827.1439016546153,1827.1804844574508,1797.7941393299568,1866.7267158465586,1797.7941393299568,107597693913,True,-0.0020021450068379684,,medium
2023-11-03,1804.2274717524494,1804.2596428929044,1832.5545820924126,1832.5545820924126,1785.8949624118886,107677024419,True,-0.0017830660116821178,0.3011561903044238,medium
2023-11-04,1838.1544985357023,1838.1688787237356,1861.8723471797591,1861.8723471797591,1828.8029734774495,107692112646,True,-0.0007823104938711003,0.3047658116570735,medium
2023-11-05,1882.2380909291876,1882.2341110782006,1898.5570754353175,1901.7382072196847,1852.1585164399992,107653059068,True,0.00021144293175623876,0.31602293427244416,medium
2023-11-06,1892.5521411388056,1892.551280623229,1900.1979638825042,1908.9694498404067,1876.4478112027434,107776634539,True,4.5468547421445636e-05,0.3199160433308851,medium
2023-11-07,1883.9757845164163,1884.011079768963,1884.9724360593752,1899.5647857298547,1861.6795509702742,107902868960,True,-0.0018734100306422258,0.3368263314511635,medium
2023-11-08,1887.896656807696,1887.8935455823982,1892.836617820304,1900.0096250931124,1877.9796971027217,107937804240,True,0.0001647987676542362,0.3195891902118445,medium
2023-11-09,1962.7582417670958,1962.7904218868953,2111.077269252265,2111.077269252265,1892.1948889231123,107941360503,True,-0.0016395087035599811,0.7951269389383631,medium
2023-11-10,2099.3957902380375,2099.373589069429,2083.3442395948123,2127.9431724899578,2077.893906761376,107972463441,True,0.001057513951985937,0.839806948510774,medium
2023-11-11,2060.8413888866967,2060.843860441358,2044.0095568390723,2079.8534704327935,2041.5791937573194,107895921915,True,-0.00011992925368774657,0.8846416719001435,medium
2023-11-12,2049.908919978792,2049.9069782340994,2044.9474053422068,2058.9519699665784,2033.8986246664742,107890578358,True,9.472355150981173e-05,0.8883804865901095,medium
2023-11-13,2063.525096076282,2063.5053776209647,2062.861830800028,2103.0865406819407,2037.076902475754,107858538606,True,0.0009555805151278347,0.884430409328487,medium
2023-11-14,2031.761181116301,2031.671467358284,1983.6534711074553,2061.4989486283202,1974.2563800900928,108062171960,True,0.004415761084331274,0.9522607028522109,medium
2023-11-15,2006.7211019103725,2006.6891975729905,2054.8463618644923,2054.8463618644923,1972.6650266553222,107844318514,True,0.0015898992938512488,0.9712007608775362,medium
2023-11-16,2024.9169962793887,2024.7903868169008,1959.9120095334672,2076.1629340114773,1953.5870997113814,108002812540,True,0.0062529663965372306,0.5388174408436492,medium
2023-11-17,1960.335015481423,1960.3283319010097,1961.3843275876868,1985.7877018360714,1917.906157885821,107938758996,True,0.00034094188735865345,0.5435481485130282,medium
2023-11-18,1949.3901567786395,1949.3985689283502,1961.6203506579561,1967.4722852309785,1928.4714904049522,107393638273,True,-0.0004315253865872039,0.5381922194022845,medium
2023-11-19,1965.3956773631598,1965.3971590099218,2004.0603082749603,2004.0603082749603,1948.8817116304579,107813142128,True,-7.538663395023806e-05,0.5730875651994971,medium
2023-11-20,2022.0340978088223,2022.0928067022971,2026.0528716616452,2046.9847712000512,2000.988500086534,107964279468,True,-0.0029033728462063467,0.5759473359671321,medium
2023-11-21,2000.3677583293595,2000.3675582802982,1945.681569422054,2029.55238274439,1945.681569422054,107865462611,True,1.0000615159407091e-05,0.5808644917013773,medium
2023-11-22,2019.1236254206742,2019.0695531446065,2063.4796625500376,2081.176219063091,1946.8951748444579,107838403023,True,0.002678078919246981,0.6955700431423442,medium
2023-11-23,2063.0303385683565,2063.037975579355,2065.262313464186,2081.0123385210513,2048.1028658492123,107864151826,True,-0.00037018276391803374,0.5727968019760605,medium
2023-11-24,2088.2975498854084,2088.2765409049516,2076.4014192970935,2120.7262652551653,2064.927349656047,107750826814,True,0.0010060439814988662,0.5702531833478711,medium
2023-11-25,2082.166202189734,2082.1615410714935,2085.009037183346,2089.0773223866568,2072.191486751717,107936575620,True,0.00022385958767737603,0.5673662798536392,medium
2023-11-26,2074.7698220563057,2074.739018891852,2066.9364372810232,2092.680569188197,2048.926492529446,107778568328,True,0.0014846765869388975,0.5689188676804533,medium
