date,bf_obs_gwei,total_gas_used_x,bf_median_gwei,tip_obs_gwei,total_gas_used_y,tx_count,tip_median_gwei,tip_mean_gwei,tip_p90_gwei,tip_max_gwei,tip_is_estimated,tf_obs_gwei,tip_pct_of_total
2023-10-27,18.59289713224533,107995689909.0,16.640362671,4.663446072506746,107995689909,7157,3.182107512898009,4.700582997513852,8.423421642740445,257.50687596700413,False,23.256343204752078,20.05236176405344
2023-10-28,13.76299536101857,107789681968.0,12.143297504,4.075458608954247,107789681968,7145,2.7062675157420353,4.192896951486958,7.248412763503346,1341.561181563122,False,17.838453969972818,22.846478824983382
2023-10-29,14.02045884080171,107819983084.0,12.549180896,3.730315674023919,107819983084,7141,2.587003151945526,3.8040786848675348,6.905243699747738,372.4382036484476,False,17.75077451482563,21.014945972685986
2023-10-30,21.870532995080232,107827177101.0,19.062455695,4.730815048670867,107827177101,7139,3.197282712399507,4.784633040536949,8.631989203757577,389.5819209521263,False,26.6013480437511,17.784117710463846
2023-10-31,24.268844047837796,107631123242.0,23.252361395,5.0515332162746915,107631123242,7135,3.251772896161441,5.056653769555652,9.327358340119831,429.1211376238324,False,29.320377264112487,17.22874562892361
2023-11-01,26.03745840251109,107945356524.0,21.089744829,4.9774688546090395,107945356524,7151,3.1620480223313456,4.851934066681729,9.338512680219033,439.83753737108225,False,31.014927257120128,16.048623339802795
2023-11-02,25.856280445981156,107597693913.0,24.289793516,4.636851628268016,107597693913,7131,3.02251740279247,4.664581852298926,8.853592182758584,160.44615587054986,False,30.49313207424917,15.206216327589855
2023-11-03,22.074733175842077,107677024419.0,19.830713097,4.58600150467726,107677024419,7139,2.7906636681986314,4.7730289545996865,7.939336933440404,1054.7246190308713,False,26.660734680519337,17.201332069923016
2023-11-04,16.350103636495913,107692112646.0,14.713045637,3.9522426489743947,107692112646,7135,2.5626920178063126,4.089152119525143,7.3508356879042,465.42284260848595,False,20.302346285470307,19.46692561244943
2023-11-05,19.08082799577823,107653059068.0,18.4446637455,4.450853708191673,107653059068,7134,3.0362268539825186,4.522051411248346,8.203627520708148,209.9207862389189,False,23.5316817039699,18.914303551202604
2023-11-06,30.00516518529783,107776634539.0,28.7400860255,5.581090430088055,107776634539,7140,3.694762960066034,5.639100613684616,10.532015495205956,218.3592180985196,False,35.58625561538589,15.68327528023219
2023-11-07,27.725372449989276,107902868960.0,25.9877744675,4.178722436615126,107902868960,7150,2.858409304644722,4.474969992839506,7.771035792770529,2196.4982617434052,False,31.9040948866044,13.097762063043666
2023-11-08,31.86806244416528,107937804240.0,27.032722903,4.836190327587798,107937804240,7153,3.408424457396097,4.880468217109141,8.978301501118178,318.33729049146746,False,36.704252771753076,13.176103482236373
2023-11-09,49.73681718947975,107941360503.0,36.788540025,6.281703121247237,107941360503,7151,3.67567100536398,6.488058354498727,11.905986561370751,481.3604560177136,False,56.01852031072699,11.213618436194848
2023-11-10,38.926638923613076,107972463441.0,36.714855042,6.289433001105873,107972463441,7153,4.143116823257815,6.318935210690677,12.062679336934826,275.516189700062,False,45.216071924718946,13.909728849461455
2023-11-11,29.186435607982087,107895921915.0,29.182987815,4.599677772332246,107895921915,7143,3.4039835002054453,4.87918802669106,9.138764431207012,990.8119273311104,False,33.78611338031433,13.614107430931293
2023-11-12,27.755245000442127,107890578358.0,26.8945923355,5.180046192899142,107890578358,7144,3.4657494435179492,5.375678941905738,9.959182214357753,505.0161094511996,False,32.93529119334127,15.727950187203518
2023-11-13,46.29083843719474,107858538606.0,38.0154091955,8.90524766084978,107858538606,7152,5.764286047997057,8.937952262327908,16.61041766869903,405.9620030214657,False,55.196086098044525,16.133838991828938
2023-11-14,36.228323920482204,108062171960.0,32.494236180499996,6.849104464502049,108062171960,7160,4.696660753860215,7.203376471843942,13.303323046399228,1330.73021181703,False,43.07742838498425,15.899520285406545
2023-11-15,34.17915395682005,107844318514.0,31.439576946,5.485019267191604,107844318514,7148,3.929843242982264,5.579658722010095,10.184552068148218,196.60502829763354,False,39.664173224011655,13.828648932662277
2023-11-16,34.56265413741616,108002812540.0,31.779603686,5.343493805864881,108002812540,7155,3.6167342958450743,5.6762228763322655,10.060865746300095,1194.5671566648289,False,39.90614794328104,13.390151846927537
2023-11-17,27.84328534037856,107938758996.0,25.529268939,4.692871935097728,107938758996,7149,3.2737379189372486,4.819923950060999,8.81339990675261,241.22196514909436,False,32.53615727547629,14.42355928932923
2023-11-18,21.932560053723975,107393638273.0,20.203470265,4.568939316803543,107393638273,7114,2.9840644680944655,4.657082325918895,9.243487761907103,147.06558144500852,False,26.50149937052752,17.2403049839689
