date,bf_obs_gwei,total_gas_used,block_count,bf_median_gwei,bf_mean_gwei,bf_p90_gwei,bf_min_gwei,bf_max_gwei,weight_vs_median_pct
2023-10-27,18.59289713224533,107995689909.0,7157.0,16.640362671,18.70727224509264,24.862110119,10.422131229,97.468433134,11.733725399195247
2023-10-28,13.76299536101857,107789681968.0,7145.0,12.143297504,13.847019812385025,21.222747702000003,7.530539192,33.937604695,13.338204523812763
2023-10-29,14.02045884080171,107819983084.0,7141.0,12.549180896,14.109466529197451,20.695460454,7.439459483,59.590136939,11.72409543694342
2023-10-30,21.870532995080232,107827177101.0,7139.0,19.062455695,22.003779142650227,36.159156626199994,8.09373001,75.603040665,14.730931549479106
2023-10-31,24.268844047837796,107631123242.0,7135.0,23.252361395,24.423881350285352,34.63642682300001,10.469086976,57.539484443,4.371524403781074
2023-11-01,26.03745840251109,107945356524.0,7151.0,21.089744829,26.187338210470287,44.645481213,10.452099087,80.290977372,23.46028182715424
2023-11-02,25.856280445981156,107597693913.0,7131.0,24.289793516,26.019403515909968,36.685810572,13.441778473,60.098862762,6.449157045939033
2023-11-03,22.074733175842077,107677024419.0,7139.0,19.830713097,22.206440100379464,34.83705827779999,9.384433007,95.19657263,11.315881924495965
2023-11-04,16.350103636495913,107692112646.0,7135.0,14.713045637,16.451827840940574,23.7422116918,10.103002069,39.538631387,11.126574605186295
2023-11-05,19.08082799577823,107653059068.0,7134.0,18.4446637455,19.193121330531117,26.1542856736,10.837421162,44.512570788,3.4490422761620376
2023-11-06,30.00516518529783,107776634539.0,7140.0,28.7400860255,30.175668254413168,43.320093901700005,13.950732711,70.029088097,4.401793225933195
2023-11-07,27.725372449989276,107902868960.0,7150.0,25.9877744675,27.907036605959863,37.6297639373,18.132309201,60.526887838,6.686213106329269
2023-11-08,31.86806244416528,107937804240.0,7153.0,27.032722903,32.047642408133086,50.69399979240001,14.932988692,77.3821298,17.88698666618104
2023-11-09,49.73681718947975,107941360503.0,7151.0,36.788540025,50.042390313839604,81.569573806,22.168094915,323.556840279,35.19649639719495
2023-11-10,38.926638923613076,107972463441.0,7153.0,36.714855042,39.184207701796865,51.185779032800006,26.308005901,104.911673357,6.024220656959969
2023-11-11,29.186435607982087,107895921915.0,7143.0,29.182987815,29.39878007091446,39.315757092800006,18.062101274,62.267143041,0.011814393385431495
2023-11-12,27.755245000442127,107890578358.0,7144.0,26.8945923355,27.93981202663382,40.709201128299995,14.362828774,97.077656012,3.2000955961919986
2023-11-13,46.29083843719474,107858538606.0,7152.0,38.0154091955,46.539165348393595,70.70148159630003,19.414348543,239.097233465,21.76861808625312
2023-11-14,36.228323920482204,108062171960.0,7160.0,32.494236180499996,36.45166123274525,52.161115810700004,18.791161331,119.870249126,11.491538743178884
2023-11-15,34.17915395682005,107844318514.0,7148.0,31.439576946,34.37786647549594,49.4682862419,20.379610625,74.490699194,8.713784589167648
2023-11-16,34.56265413741616,108002812540.0,7155.0,31.779603686,34.791121921589934,49.5198542134,19.996098746,77.194009822,8.757347885499867
2023-11-17,27.84328534037856,107938758996.0,7149.0,25.529268939,28.02069908595188,39.786771906999995,15.853739475,109.669510414,9.064170254572126
2023-11-18,21.932560053723975,107393638273.0,7114.0,20.203470265,22.079361866315573,29.361602324299998,14.018995942,85.18264397,8.558380149767677
2023-11-19,20.342553053080525,107813142128.0,7139.0,17.451442681,20.47649085044166,31.247851395199998,12.068044233,64.358258278,16.56659810267824
2023-11-20,39.52640176703787,107964279468.0,7147.0,32.611114832,39.8088576642408,85.80901686600005,13.552087163,162.277127656,21.205306750973662
2023-11-21,40.12805738762296,107865462611.0,7143.0,35.135964276,40.380149740231694,64.3985877522,21.173593552,116.875017221,14.207929722403717
2023-11-22,39.139038719465795,107838403023.0,7142.0,32.608058451000005,39.409265325378605,58.1558130506,20.584683038,413.713708631,20.028730868106933
2023-11-23,32.68626514897525,107864151826.0,7145.0,31.42516198,32.911362904331,41.9412984076,17.423975024,109.464180062,4.013036336225923
2023-11-24,28.41000116601142,107750826814.0,7134.0,29.163632887,28.598829167307404,36.9949608143,15.823316936,62.828683337,-2.5841489772850585
2023-11-25,22.2760603585199,107936575620.0,7145.0,21.362607734,22.43981778594094,28.8073819874,15.883996375,39.158542096,4.2759415699333285
