date,residual,fitted,actual
2021-08-05,-0.36105530323704116,25.12451612320877,24.76346081997173
2021-08-06,-0.7691828855210048,25.121892686803022,24.352709801282018
2021-08-07,-0.3159197033533445,24.75934357024895,24.443423866895607
2021-08-08,-0.5335910311899319,24.756722530984824,24.223131499794892
2021-08-09,-0.7260297222164311,25.114029569010636,24.387999846794205
2021-08-10,-0.6504432322970892,25.111410926888126,24.460967694591037
2021-08-11,-0.5168637954354729,25.108793483336427,24.591929687900954
2021-08-12,-0.6746084325393653,25.10617723835554,24.431568805816173
2021-08-13,-0.6431786711225023,25.103562191945457,24.460383520822955
2021-08-14,-0.3695241451618365,24.741021465387053,24.371497320225217
2021-08-15,-0.5529902917402616,24.738408816118593,24.18541852437833
2021-08-16,-0.600490068203186,25.095724244140076,24.49523417593689
2021-08-17,-0.6953358348521164,25.093113992013237,24.39777815716112
2021-08-18,-0.8225982546894208,25.090504938457205,24.267906683767784
2021-08-19,-0.9837205357057748,25.087897083471983,24.104176547766208
2021-08-20,-0.888127717394017,25.085290427057572,24.197162709663555
2021-08-21,-0.6831697538984507,24.72275809049484,24.03958833659639
2021-08-22,-0.6732907823407785,24.720153831222046,24.046863048881267
2021-08-23,-0.4181621265140265,25.077477649239196,24.65931552272517
2021-08-24,-0.15415355478414483,25.074875787108024,24.92072223232388
2021-08-25,0.0006141934934227322,25.072275123547662,25.072889317041085
2021-08-26,-0.03875383658632714,25.069675658558108,25.03092182197178
2021-08-27,0.03537087310796139,25.067077392139367,25.10244826524733
2021-08-28,0.17565026312957244,24.7045534455723,24.880203708701874
2021-08-29,0.19230166662352133,24.70195757629518,24.8942592429187
2021-08-30,0.04710392558927978,25.059289784307996,25.106393709897276
2021-08-31,0.11343380521045177,25.118382270043142,25.231816075253594
2021-09-01,0.25441690958794894,25.054104038607797,25.308520948195746
2021-09-02,0.17702969121685186,25.051512963613913,25.228542654830765
2021-09-03,0.48265241702290496,25.04892308719084,25.531575504213745
2021-09-04,0.6298761386885303,24.686407530619444,25.316283669307975
2021-09-05,0.5242590267473126,24.68382005133799,25.2080790780853
2021-09-06,0.23005540710316552,25.041160649346477,25.271216056449642
2021-09-07,0.2958929757054385,25.03857556720664,25.334468542912077
2021-09-08,0.3537743077802169,25.035991683637615,25.389765991417832
2021-09-09,0.3278476015096885,25.0334089986394,25.361256600149087
2021-09-10,0.10230894557875914,25.030827512211992,25.13313645779075
2021-09-11,0.13390665160647686,24.668320345636264,24.80222699724274
2021-09-12,0.0013179621749408454,24.66574125635048,24.66705921852542
2021-09-13,-0.1836015946797538,25.023090244354634,24.83948864967488
2021-09-14,-0.366838484418345,25.020513552210467,24.653675067792122
2021-09-15,-0.27412479648015875,25.01793805863711,24.74381326215695
2021-09-16,-0.14032767914445543,25.015363763634564,24.87503608449011
2021-09-17,-0.17352811005078905,25.012790667202825,24.839262557152036
2021-09-18,-0.07649800017704678,24.650291890622768,24.57379389044572
2021-09-19,-0.14754295686978836,24.64772119133265,24.50017823446286
2021-09-20,-0.016578397919985832,25.005078569332476,24.98850017141249
2021-09-21,0.003065277136045097,25.002510267183975,25.00557554432002
2021-09-22,-0.2546880110383718,24.999943163606286,24.745255152567914
2021-09-23,-0.16168835932019476,24.99737725859941,24.835688899279216
2021-09-24,-0.14528601961442433,24.99481255216334,24.849526532548914
2021-09-25,-0.215504330375218,24.632322165578948,24.41681783520373
2021-09-26,0.03544063207492343,24.6297598562845,24.665200488359424
2021-09-27,-0.06545485562251585,24.987125624279994,24.921670768657478
2021-09-28,0.048488321159954495,24.984565712127164,25.03305403328712
2021-09-29,-0.07556365313126889,24.982006998545145,24.906443345413877
2021-09-30,0.09700668010773228,24.9633410781967,25.06034775830443
2021-10-01,0.058792740568208046,24.976893167093532,25.03568590766174
2021-10-02,0.0994436888428254,24.61441117050481,24.713854859347634
2021-10-03,0.051825030016491525,24.61185725120603,24.66368228122252
2021-10-04,0.13505035939732934,24.969231409197192,25.10428176859452
2021-10-05,0.34415213426955304,24.96667988704003,25.310832021309583
2021-10-06,0.5636110944752843,24.964129563453678,25.527740657928963
2021-10-07,0.5612359021324203,24.961580438438137,25.522816340570557
2021-10-08,0.3655432256179978,24.959032511993406,25.324575737611404
2021-10-09,0.40715675550826447,24.596558905400354,25.003715660908618
2021-10-10,0.31067675142628204,24.59401337609724,24.904690127523523
2021-10-11,0.2924632795624049,24.95139592408407,25.243859203646476
2021-10-12,0.1505222572237912,24.948852791922576,25.099375049146367
2021-10-13,0.24291089482792927,24.946310858331895,25.189221753159824
2021-10-14,0.4263191106505566,24.94377012331202,25.370089233962577
2021-10-15,0.518847556291842,24.941230586862957,25.4600781431548
2021-10-16,0.4915730638894402,24.57876537026557,25.070338434155012
2021-10-17,0.34840534282443514,24.57622823095813,24.924633573782565
2021-10-18,0.10248030162348343,24.933619168940627,25.03609947056411
2021-10-19,-0.061510269522266015,24.931084426774806,24.86957415725254
2021-10-20,-0.013782932210474996,24.928550883179792,24.914767950969317
2021-10-21,0.11014174181333303,24.926018538155585,25.036160279968918
2021-10-22,0.060781256726475164,24.923487391702192,24.984268648428667
2021-10-23,0.23984399771951104,24.561030565100474,24.800874562819985
2021-10-24,0.255937834581232,24.5585018157887,24.81443965036993
2021-10-25,0.1798326979488003,24.915901143766867,25.095733841715667
2021-10-26,0.46177304846805356,24.913374791596713,25.375147840064766
2021-10-27,0.7338876565650239,24.910849637997366,25.64473729456239
2021-10-28,0.9548921178157137,24.90832568296883,25.863217800784543
2021-10-29,0.877738223402325,24.905802926511104,25.78354114991343
