date,bf_obs_gwei,total_gas_used,A_t_observed,D_star,tip_obs_gwei,bf_cf_gwei,bf_cf_median_gwei,bf_cf_p05_gwei,bf_cf_p95_gwei,bf_cf_sd_gwei,delta_mean_gwei,delta_p05_gwei,delta_p95_gwei,delta_sd_gwei,prob_cf_gt_obs,prob_delta_negative,bf_cf_gwei_capped,bf_cf_p05_gwei_capped,bf_cf_p95_gwei_capped,is_capped,A_t_counterfactual,window_limited,model_type
2023-10-28,13.76299536101857,107789681968,0.7703516888568054,2.236342668998306,4.075458608954247,15.56480349144532,15.452379364378785,11.532605876037763,19.724536943729202,2.4809458247258025,1.80180813042678,-2.230389484980807,5.961541582710632,2.4809458247258025,0.77125,0.22875,15.56480349144532,11.532605876037763,19.724536943729202,FALSE,0.7301763557357159,TRUE,natural_scale_gwei
2023-10-29,14.02045884080171,107819983084,0.7487587109019763,2.0861834765130514,3.730315674023919,14.892389618480216,14.819545654318595,11.159785005534092,18.752811104966362,2.3199474515239267,0.8719307776784967,-2.8606738352676198,4.732352264164651,2.3199474515239267,0.6495,0.3505,14.892389618480216,11.159785005534092,18.752811104966362,FALSE,0.7301763557357159,TRUE,natural_scale_gwei
2023-10-30,21.870532995080232,107827177101,0.7308358363074007,1.5940945489413596,4.730815048670867,21.976322943608825,22.0434849872827,18.162200898742874,25.63742657269686,2.273101313973818,0.10578994852858115,-3.708332096337357,3.7668935776166292,2.273101313973818,0.53125,0.46875,21.976322943608825,18.162200898742874,25.63742657269686,FALSE,0.7301763557357159,TRUE,natural_scale_gwei
2023-10-31,24.268844047837796,107631123242,0.7295624497075993,1.6659378522537793,5.0515332162746915,23.658154574554437,23.741907451667792,19.71206786324427,27.335753605798395,2.305072876650975,-0.610689473283386,-4.556776184593527,3.0669095579606025,2.305072876650975,0.3985,0.6015,23.658154574554437,19.71206786324427,27.335753605798395,FALSE,0.7301763557357159,TRUE,natural_scale_gwei
2023-11-01,26.03745840251109,107945356524,0.7349308895948415,1.016126252573654,4.9774688546090395,26.728887146335076,26.622152379851453,23.16994176583658,30.54670111618981,2.2287567347684996,0.691428743824019,-2.867516636674511,4.509242713678723,2.2287567347684996,0.614,0.386,26.728887146335076,23.16994176583658,30.54670111618981,FALSE,0.7301763557357159,TRUE,natural_scale_gwei
2023-11-02,25.856280445981156,107597693913,0.730585626421127,1.2986652868291095,4.636851628268016,26.169371684600282,26.147094237844314,22.414907177982684,29.917429318532204,2.2852676412375987,0.31309123861914173,-3.441373267998474,4.0611488725510485,2.2852676412375983,0.563,0.437,26.169371684600282,22.414907177982684,29.917429318532204,FALSE,0.7301763557357159,TRUE,natural_scale_gwei
2023-11-03,22.074733175842077,107677024419,0.7382472671717933,1.4083157233235635,4.58600150467726,22.625239738779847,22.575155231007965,18.910915516698537,26.494871197972067,2.303005523840244,0.5505065629377291,-3.1638176591435374,4.420138022129988,2.3030055238402434,0.59175,0.40825,22.625239738779847,18.910915516698537,26.494871197972067,FALSE,0.7301763557357159,TRUE,natural_scale_gwei
2023-11-04,16.350103636495913,107692112646,0.781855876765836,1.9346736039600847,3.9522426489743947,18.840422241839867,18.78028343201662,14.898555783421166,22.980901153898095,2.497650184779109,2.490318605343957,-1.4515478530747472,6.630797517402184,2.4976501847791095,0.84375,0.15625,18.840422241839867,14.898555783421166,22.980901153898095,FALSE,0.7301763557357159,TRUE,natural_scale_gwei
2023-11-05,19.08082799577823,107653059068,0.7717561643019368,1.3021037081684246,4.450853708191673,21.368681881553492,21.261176524770512,17.62265052890228,25.594491404906165,2.449416652460758,2.28785388577524,-1.45817746687595,6.513663409127937,2.449416652460758,0.82975,0.17025,21.368681881553492,17.62265052890228,25.594491404906165,FALSE,0.7301763557357159,TRUE,natural_scale_gwei
2023-11-06,30.00516518529783,107776634539,0.7151409846353355,1.375101162005886,5.581090430088055,28.536554861234873,28.64814610902458,24.660252030100807,32.106477134695965,2.2945227162400994,-1.4686103240629376,-5.344913155197025,2.1013119493981294,2.294522716240099,0.259,0.741,28.536554861234873,24.660252030100807,32.106477134695965,FALSE,0.7301763557357159,TRUE,natural_scale_gwei
