date,BF_obs_gwei,GAS,TIP_obs_gwei,ETHUSD_gwt,ETHUSD_close,ETHUSD_mean,ETHUSD_high,ETHUSD_low,ETHUSD_volatility,BF_cf_gwei,BF_cf_p05_gwei,BF_cf_p95_gwei,is_capped,TIP_cf_gwei,TIP_cf_p05_gwei,TIP_cf_p95_gwei,TF_obs_gwei,TF_cf_gwei,Delta_usd_base_only,Delta_usd_base_only_p05,Delta_usd_base_only_p95,Delta_usd_base_only_close,Delta_usd_base_only_mean,Delta_usd_base_only_high,Delta_usd_base_only_low,Delta_usd_base_plus_tip,Delta_usd_base_plus_tip_p05,Delta_usd_base_plus_tip_p95,Delta_usd_base_plus_tip_close,Delta_usd_base_plus_tip_mean,Delta_usd_base_plus_tip_high,Delta_usd_base_plus_tip_low,is_extrapolation_day,is_synthetic
2023-10-28,13.76299536101857,107789681968.0,4.075458608954247,1785.6123153671506,1775.582842648178,1785.6073207605323,1795.0916137020222,1775.582842648178,,15.56480349144532,11.532605876037763,19.724536943729202,False,4.609004851193771,3.415002088447701,5.840773159209148,17.838453969972818,20.17380834263909,346795.0623832709,-429284.36581075547,1147421.3875297229,344847.1750466335,346794.09234912694,348636.0968727286,344847.1750466335,449487.01900020085,-556402.8177495077,1487192.509239972,446962.32886685134,449485.76172233565,451873.21532853367,446962.32886685134,False,False
2023-10-29,14.02045884080171,107819983084.0,3.730315674023919,1788.7771507726468,1799.5280569867357,1788.8067377602372,1804.5806359458886,1771.4308181835738,,14.892389618480216,11.159785005534092,18.752811104966362,False,3.962303591364576,2.9691981837094064,4.989416251719888,17.75077451482563,18.854693209844793,168165.73347690384,-551726.4971730862,912709.4833069036,169176.44295977752,168168.51499581322,169651.44379833862,166534.97766044244,212908.29707953357,-698520.123797462,1155547.0772879098,214187.91826270596,212911.81865579076,214789.29892188337,210843.6586026168,False,False
2023-10-30,21.870532995080232,107827177101.0,4.730815048670867,1802.9759017992224,1810.0160648552571,1802.9728219478268,1822.7250232789472,1783.1294412983018,,21.976322943608825,18.162200898742874,25.63742657269686,False,4.753698472710408,3.9286657233312265,5.545631808177327,26.6013480437511,26.730021416319232,20566.6029335075,-720936.1081250431,732321.0340978851,20646.910295361933,20566.567801545567,20791.881784630124,20340.21373310241,25015.36486719075,-876881.7995361933,890729.398875635,25113.0435146954,25015.32213583404,25289.373787181743,24740.00541826113,False,False
2023-10-31,24.268844047837796,107631123242.0,5.0515332162746915,1802.9625041960765,1812.443535891506,1802.9691733845168,1813.104335516687,1790.6532221156283,,23.658154574554437,19.71206786324427,27.335753605798395,False,4.924418873579205,4.10304526150313,5.689907070126564,29.320377264112487,28.582573448133644,-118507.27214371154,-884264.6533634373,595148.7646762606,-119130.45271497607,-118507.7105040921,-119173.8865417093,-117698.19295431829,-143174.43059691356,-1068323.3691241906,719028.3259549459,-143927.3255191902,-143174.96020152557,-143979.80004922271,-142196.94246345357,False,False
2023-11-01,26.03745840251109,107945356524.0,4.9774688546090395,1813.799697429006,1845.7727244061282,1813.8056209949598,1849.4157282390854,1791.6262956576888,,26.728887146335076,23.16994176583658,30.54670111618981,False,5.1096463115774755,4.429298041295551,5.839481375886615,31.014927257120128,31.83853345791255,135375.70149782219,-561434.6810338955,882870.2900202199,137762.05703761638,135376.1436121844,138033.95817429916,133720.75590287035,161254.89168065798,-668761.7325280637,1051644.8033886787,164097.43653784742,161255.41831211987,164421.31584453626,159283.57725939434,False,False
2023-11-02,25.856280445981156,107597693913.0,4.636851628268016,1827.1439016546153,1797.7941393299568,1827.1804844574508,1866.7267158465586,1797.7941393299568,,26.169371684600282,22.414907177982684,29.917429318532204,False,4.692998823245289,4.019704189968284,5.365144500928826,30.49313207424917,30.862370507845572,61552.63238349155,-676561.837353646,798407.5335651862,60563.900664398934,61553.86478112178,62886.09408207718,60563.900664398934,72590.97273131745,-797890.8453566072,941587.341649632,71424.9300377723,72592.4261369527,74163.56642962119,71424.9300377723,False,False
2023-11-03,22.074733175842077,107677024419.0,4.58600150467726,1804.2274717524494,1832.5545820924126,1804.2596428929044,1832.5545820924126,1785.8949624118886,0.3011561903044238,22.625239738779847,18.910915516698537,26.494871197972067,False,4.7003686368123025,3.928721870546268,5.504280310536306,26.660734680519337,27.32560837559215,106949.02697325069,-614647.0232080393,858717.2113472325,108628.170504349,106950.93397900365,108628.170504349,105862.33249229002,129167.56953574254,-742339.2653214002,1037114.7662332132,131195.5532860564,129169.87271984035,131195.5532860564,127855.11547322263,False,False
2023-11-04,16.350103636495913,107692112646.0,3.9522426489743947,1838.1544985357023,1861.8723471797591,1838.1688787237356,1861.8723471797591,1828.8029734774495,0.3047658116570735,18.840422241839867,14.898555783421166,22.980901153898095,False,4.554217022984185,3.601366014826115,5.55507779470971,20.302346285470307,23.39463926482405,492970.37531792047,-287340.77976474306,1312597.8072831428,499331.20992519014,492974.23190706875,499331.20992519014,490462.41158503824,612134.0568045266,-356798.4731117659,1629886.6239310668,620032.4695444393,612138.8456309531,620032.4695444393,609019.8534142362,False,False
2023-11-05,19.08082799577823,107653059068.0,4.450853708191673,1882.2380909291876,1898.5570754353175,1882.2341110782006,1901.7382072196847,1852.1585164399992,0.31602293427244416,21.368681881553492,17.62265052890228,25.594491404906165,False,4.984525672194315,4.110714664588201,5.970251238783324,23.5316817039699,26.353207553747808,463584.832086224,-295468.5875424847,1319855.0731588877,467604.10771801043,463583.8518709364,468387.6028832644,456176.3992444937,571722.0821787732,-364390.5158156496,1627728.601914799,576678.9066346432,571720.8733153972,577645.1623364103,562585.5350857746,False,False
2023-11-06,30.00516518529783,107776634539.0,5.581090430088055,1892.5521411388056,1900.1979638825042,1892.551280623229,1908.9694498404067,1876.4478112027434,0.3199160433308851,28.536554861234873,24.660252030100807,32.106477134695965,False,5.307922561338162,4.586913478356477,5.971943536178002,35.58625561538589,33.844477422573036,-299556.7074468529,-1090217.438980466,428610.69309318607,-300766.9026309319,-299556.57124283124,-302155.26990274957,-297007.68385779514,-355275.54994865996,-1293002.5953971474,508334.1347967465,-356710.84666838095,-355275.3884101015,-358357.4562543581,-352252.3969531782,False,False
