model,dw,lb_p_10,lb_p_20
Levels OLS,0.147684776702489,0.0,0.0
FGLS AR(1),2.1771990469520914,2.456320314260106e-15,1.6185288745454026e-21
ECM (Δ spec),,1.4413243544546447e-31,
